"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"62",2.94093427109615e-229,1.09708260517042,0.812,0.328,4.01231662605648e-225,"3","Rps28"
"63",3.59361449106077e-210,0.851554907819724,0.929,0.494,4.90276825015421e-206,"3","Rps27"
"64",3.97075403200995e-193,0.88885875316024,0.917,0.558,5.41729972587117e-189,"3","Rpl41"
"65",4.40280392677933e-189,0.940990793300508,0.884,0.48,6.00674539730504e-185,"3","Rps26"
"66",5.13709243421873e-182,1.05750037429177,0.668,0.238,7.00853520800461e-178,"3","Rpl39"
"67",2.81636209605579e-170,0.973594883274005,0.685,0.26,3.84236280764891e-166,"3","Cox7c"
"68",8.84410809492108e-153,0.901054002279716,0.78,0.389,1.20660166739008e-148,"3","Rps17"
"69",1.50488622927333e-148,0.992207812913231,0.663,0.278,2.0531162825976e-144,"3","Rpl38"
"70",3.52568324271001e-121,0.89047069245012,0.613,0.264,4.81008964802926e-117,"3","Rps21"
"71",1.25497045619857e-111,0.837479899612526,0.533,0.211,1.71215619339171e-107,"3","Snrpf"
"72",2.46781167616154e-92,0.836611150136579,0.498,0.21,3.3668354697872e-88,"3","Rpl22l1"
"73",2.62523914041048e-26,-0.969536685202327,0.032,0.154,3.58161375926202e-22,"3","Ccnd2"
"74",2.67715356841804e-26,-1.13839342284367,0.048,0.175,3.65244061339273e-22,"3","H2-D1"
"75",5.05068706645515e-23,-1.36400723378258,0.068,0.186,6.89065236476476e-19,"3","Cd52"
"76",2.52165869158763e-22,-1.39904262869035,0.015,0.111,3.440298952933e-18,"3","Ms4a4b"
"77",3.79309061514238e-19,-0.947412646117048,0.035,0.13,5.17491352623875e-15,"3","Shisa5"
"78",4.3247178438642e-07,-0.928949980942649,0.055,0.103,0.00590021255438393,"3","Itm2a"
"79",9.22092115561748e-05,-1.42452800261308,0.423,0.332,1,"3","Hbb-bs"
"80",0.00893868489342825,-1.44681535667026,0.103,0.076,1,"3","Hba-a1"
"81",0,2.1172786642822,0.555,0.037,0,"4","Il2ra"
"82",6.3859025165298e-291,1.68393999119672,0.457,0.061,8.7122868033016e-287,"4","Plac8"
"83",1.00547516204236e-287,2.33938868222718,0.374,0.036,1.3717697635744e-283,"4","H19"
"84",1.15992832362018e-250,1.52651609654934,0.291,0.021,1.58249021191501e-246,"4","Tcrg-C1"
"85",4.2257247554691e-211,1.50983093395785,0.324,0.039,5.7651562838865e-207,"4","Akr1c13"
"86",3.27815175141631e-155,1.12762456506646,0.15,0.006,4.47238243445728e-151,"4","Pld4"
"87",1.89868054555324e-146,1.11558873841774,0.179,0.014,2.59036986829828e-142,"4","Ifitm2"
"88",2.69085584068851e-138,1.15529588275391,0.215,0.025,3.67113462345134e-134,"4","Hes1"
"89",1.47645310703892e-124,1.07489416575669,0.336,0.076,2.0143249739332e-120,"4","Sell"
"90",1.33838061037756e-120,1.09906569075811,0.209,0.028,1.8259526667381e-116,"4","Tcrg-C2"
"91",6.58215971589869e-110,-2.02596460485679,0.05,0.443,8.98004050040058e-106,"4","Cd8b1"
"92",3.39474139561964e-98,1.08858611968371,0.127,0.011,4.63144568604387e-94,"4","Slc5a9"
"93",2.26798931516138e-95,1.13007783201848,0.287,0.072,3.09421782267467e-91,"4","Ppt1"
"94",3.38784122425507e-94,-1.96696711121672,0.035,0.384,4.62203178225119e-90,"4","Cd8a"
"95",4.90562214312165e-77,-1.35067333040668,0.186,0.492,6.69274028986086e-73,"4","Ccnd3"
"96",4.36237933838284e-64,-1.24956694331885,0.19,0.461,5.9515941313557e-60,"4","Rrm2"
"97",6.89735198465063e-43,-1.21018765325819,0.045,0.248,9.41005731265886e-39,"4","Rmnd5a"
"98",1.25199217003887e-38,-1.3073109876993,0.013,0.184,1.70809291758403e-34,"4","Cd2"
"99",2.36252250646974e-30,-1.70767495180266,0.04,0.188,3.22318945557667e-26,"4","Cd52"
"100",6.33579749012236e-09,-1.07951880621608,0.046,0.105,8.64392851577394e-05,"4","Ms4a4b"
"101",4.81426833615535e-195,1.30108876570485,0.783,0.343,6.56810629101675e-191,"5","Cd8b1"
"102",2.55449358430084e-144,1.31964354435721,0.499,0.155,3.48509559706163e-140,"5","Ccr9"
"103",4.53990637203353e-134,0.958103130396975,0.948,0.787,6.19379426336535e-130,"5","Malat1"
"104",2.66801319444032e-131,1.33694944184589,0.544,0.205,3.63997040117493e-127,"5","Rag1"
